Jackass Forever,2022,7.6
Spider-Man: No Way Home,2021,8.7
Uncharted,2022,6.8
Dune: Part One,2021,8.1
The Last Duel,2021,7.4
No Time to Die,2021,7.3
The Suicide Squad,2021,7.2
Nobody,2021,7.4
Jack Reacher,2012,7.0
Free Guy,2021,7.2
Ghostbusters,1984,7.8
Shang-Chi and the Legend of the Ten Rings,2021,7.5
The Dark Knight,2008,9.0
Kingsman: The Secret Service,2014,7.7
Avengers: Endgame,2019,8.4
Jurassic Park,1993,8.1
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
The Matrix,1999,8.7
The Hunger Games: Catching Fire,2013,7.5
Spider-Man,2002,7.3
Spider-Man: Homecoming,2017,7.4
Kingsman: The Golden Circle,2017,6.7
The Gentlemen,2019,7.8
Watchmen,2009,7.6
Tombstone,1993,7.8
Black Widow,2021,6.7
Inception,2010,8.8
Avengers: Infinity War,2018,8.4
Tenet,2020,7.4
Wrath of Man,2021,7.1
Jackass: The Movie,2002,6.6
Warrior,2011,8.1
Mahaan,2022,8.1
Raya and the Last Dragon,2021,7.3
Spider-Man: Far from Home,2019,7.4
Zack Snyder's Justice League,2021,8.1
Pushpa: The Rise - Part 1,2021,7.9
Blade Runner 2049,2017,8.0
Star Wars,1977,8.6
Independence Day,1996,7.0
Avatar,2009,7.8
Batman Begins,2005,8.2
Spider-Man: Into the Spider-Verse,2018,8.4
13 Hours,2016,7.3
Jumanji: The Next Level,2019,6.7
The Dark Knight Rises,2012,8.4
Mad Max: Fury Road,2015,8.1
Black Panther,2018,7.3
The Amazing Spider-Man,2012,6.9
Léon,1994,8.5
1917,2019,8.3
Baby Driver,2017,7.6
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0
Gladiator,2000,8.5
The Lord of the Rings: The Return of the King,2003,8.9
The Harder They Fall,2021,6.6
The Other Guys,2010,6.7
The Hunger Games,2012,7.2
Thor: Ragnarok,2017,7.9
Guardians of the Galaxy,2014,8.0
Venom,2018,6.7
Jurassic World,2015,7.0
Top Gun,1986,6.9
Jungle Cruise,2021,6.6
Captain Marvel,2019,6.8
Deadpool,2016,8.0
Heat,1995,8.2
The Avengers,2012,8.0
Busanhaeng,2016,7.6
The Magnificent Seven,2016,6.9
The Amazing Spider-Man 2,2014,6.6
Blade Runner,1982,8.1
Logan's Run,1976,6.8
300,2006,7.6
Hell or High Water,2016,7.6
Rogue One,2016,7.8
Batman,1989,7.5
The Tomorrow War,2021,6.6
Transformers,2007,7.0
Ready Player One,2018,7.4
Iron Man,2008,7.9
Dunkirk,2017,7.8
The Revenant,2015,8.0
Snowpiercer,2013,7.1
Doctor Strange,2016,7.5
The Karate Kid,1984,7.3
Black Hawk Down,2001,7.7
The Lord of the Rings: The Two Towers,2002,8.7
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Jackass 3D,2010,7.0
Solo: A Star Wars Story,2018,6.9
Star Wars: Episode III - Revenge of the Sith,2005,7.5
Spider-Man 2,2004,7.4
Star Wars: Episode VII - The Force Awakens,2015,7.8
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
Logan,2017,8.1
Sicario,2015,7.6
Fury,2014,7.6
3:10 to Yuma,2007,7.7
Mission: Impossible - Fallout,2018,7.7
Terminator 2: Judgment Day,1991,8.5
The Fifth Element,1997,7.7
John Wick,2014,7.4
The Foreigner,2017,7.0
The Mummy,1999,7.1
Captain America: Civil War,2016,7.8
Ambulance,2022,9.3
Oldeuboi,2003,8.4
Captain America: The First Avenger,2011,6.9
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3
Thor,2011,7.0
Deadpool 2,2018,7.7
Jackass Number Two,2006,7.0
The Book of Eli,2010,6.9
Shazam!,2019,7.0
Star Wars: Episode VIII - The Last Jedi,2017,6.9
The Equalizer,2014,7.2
Aliens,1986,8.3
The Last Samurai,2003,7.7
Casino Royale,2006,8.0
Harry Potter and the Order of the Phoenix,2007,7.5
Predestination,2014,7.5
Drive,2011,7.8
Avengers: Age of Ultron,2015,7.3
The Matrix Reloaded,2003,7.2
The Rock,1996,7.4
Guardians of the Galaxy Vol. 2,2017,7.6
Aquaman,2018,6.9
Harry Potter and the Half-Blood Prince,2009,7.6
Raiders of the Lost Ark,1981,8.4
The Fugitive,1993,7.8
The Terminator,1984,8.0
Wonder Woman,2017,7.4
Spectre,2015,6.8
From Dusk Till Dawn,1996,7.2
Men in Black,1997,7.3
Die Hard,1988,8.2
World War Z,2013,7.0
The Lost World: Jurassic Park,1997,6.6
21 Jump Street,2012,7.2
In the Heart of the Sea,2015,6.9
X-Men: Apocalypse,2016,6.9
Edge of Tomorrow,2014,7.9
Iron Man Three,2013,7.1
Den of Thieves,2018,7.0
Ghostbusters,2016,6.9
Star Trek Beyond,2016,7.0
Teenage Mutant Ninja Turtles,1990,6.8
Con Air,1997,6.9
King Arthur: Legend of the Sword,2017,6.7
Skyfall,2012,7.8
Ford v Ferrari,2019,8.1
Jumanji: Welcome to the Jungle,2017,6.9
The Nice Guys,2016,7.4
Enola Holmes,2020,6.6
Serenity,2005,7.8
Point Break,1991,7.3
Captain America: The Winter Soldier,2014,7.7
Apocalypto,2006,7.8
Kill Bill: Vol. 1,2003,8.1
Ghostbusters II,1989,6.6
Man of Steel,2013,7.0
In Time,2011,6.7
The A-Team,2010,6.7
Starship Troopers,1997,7.2
X: First Class,2011,7.7
Ready or Not,2019,6.9
Star Trek,2009,7.9
Ant-Man and the Wasp,2018,7.0
Midway,2019,6.7
The Island,2005,6.8
Kingdom of Heaven,2005,7.2
Alita: Battle Angel,2019,7.3
Ant-Man,2015,7.3
Scott Pilgrim vs. the World,2010,7.5
Clash of the Titans,1981,6.9
The Warriors,1979,7.6
Collateral,2004,7.5
Stargate,1994,7.1
Red Sparrow,2018,6.6
Batman Returns,1992,7.0
Divergent,2014,6.6
Looper,2012,7.4
Law Abiding Citizen,2009,7.4
The Rescue,2021,8.4
The Incredibles,2004,8.0
X-Men,2000,7.4
The Hitman's Bodyguard,2017,6.9
Willow,1988,7.3
The Matrix Revolutions,2003,6.8
The Fast and the Furious,2001,6.8
X-Men Origins: Wolverine,2009,6.6
I Am Legend,2007,7.2
Kick-Ass,2010,7.6
Death Proof,2007,7.0
The Italian Job,2003,7.0
Mission: Impossible,1996,7.1
American Sniper,2014,7.3
Thor: The Dark World,2013,6.8
RoboCop,1987,7.6
X-Men: Days of Future Past,2014,7.9
Everest,2015,7.1
Total Recall,1990,7.5
Anna,2019,6.7
Extraction,2020,6.7
V for Vendetta,2005,8.1
The Bourne Identity,2002,7.9
Pirates of the Caribbean: Dead Man's Chest,2006,7.3
Dr. No,1962,7.2
Blade,1998,7.1
The Man from U.N.C.L.E.,2015,7.3
Black Rain,1989,6.7
The Incredible Hulk,2008,6.6
The Patriot,2000,7.2
Bullitt,1968,7.4
Pirates of the Caribbean: On Stranger Tides,2011,6.6
Man on Fire,2004,7.7
The Negotiator,1998,7.3
John Wick: Chapter 3 - Parabellum,2019,7.4
Men in Black 3,2012,6.8
Mission: Impossible - Rogue Nation,2015,7.4
For Your Eyes Only,1981,6.7
Iron Man 2,2010,6.9
The Maze Runner,2014,6.8
The Old Guard,2020,6.7
Predator,1987,7.8
Jason Bourne,2016,6.6
Quantum of Solace,2008,6.6
Constantine,2005,7.0
Rush,2013,8.1
Armageddon,1998,6.7
El Camino: A Breaking Bad Movie,2019,7.3
Unbroken,2014,7.2
"Lock, Stock and Two Smoking Barrels",1998,8.2
Love and Monsters,2020,7.0
Deja Vu,2006,7.1
Taken,2008,7.8
Children of Men,2006,7.9
First Blood,1982,7.7
Resident Evil,2002,6.7
Indiana Jones and the Temple of Doom,1984,7.5
Hot Fuzz,2007,7.8
Westworld,1973,7.0
Sherlock Holmes,2009,7.6
Munich,2005,7.5
The Last of the Mohicans,1992,7.7
Game Night,2018,6.9
GoldenEye,1995,7.2
Kung Fu Panda,2008,7.6
Greyhound,2020,7.0
Beverly Hills Cop,1984,7.3
Gravity,2013,7.7
The Accountant,2016,7.3
Oblivion,2013,7.0
Patriot Games,1992,6.9
Equilibrium,2002,7.4
The Mask,1994,6.9
How to Train Your Dragon,2010,8.1
Pacific Rim,2013,6.9
Tropic Thunder,2008,7.0
National Treasure,2004,6.9
Kong: Skull Island,2017,6.6
Bad Boys,1995,6.9
John Wick: Chapter 2,2017,7.5
The Bourne Ultimatum,2007,8.0
News of the World,2020,6.8
Speed,1994,7.2
The Count of Monte Cristo,2002,7.8
Pirates of the Caribbean: At World's End,2007,7.1
The Bourne Supremacy,2004,7.7
Fast & Furious,2009,6.6
Star Trek Into Darkness,2013,7.7
Big Hero 6,2014,7.8
Shichinin no samurai,1954,8.6
Minority Report,2002,7.6
District 9,2009,7.9
Superman,1978,7.3
Hellboy,2004,6.8
Silverado,1985,7.2
Logan Lucky,2017,7.0
Upgrade,2018,7.5
Incredibles 2,2018,7.6
Outlaw King,2018,6.9
Zombieland,2009,7.6
Rush Hour,1998,7.0
Shooter,2007,7.2
Atomic Blonde,2017,6.7
Mission: Impossible - Ghost Protocol,2011,7.4
I onde dager,2021,6.9
The Hunger Games: Mockingjay - Part 2,2015,6.6
Cloverfield,2008,7.0
"I, Robot",2004,7.1
Highlander,1986,7.1
Wanted,2008,6.7
Fast & Furious 7,2015,7.1
A Knight's Tale,2001,7.0
The Blues Brothers,1980,7.9
Minnal Murali,2021,8.1
Deepwater Horizon,2016,7.1
King Kong,2005,7.2
The Life Aquatic with Steve Zissou,2004,7.3
Goldfinger,1964,7.7
The Equalizer 2,2018,6.7
Rango,2011,7.2
Sicario: Day of the Soldado,2018,7.1
Kill Bill: Vol. 2,2004,8.0
Mononoke-hime,1997,8.4
Desperado,1995,7.2
We Were Soldiers,2002,7.2
Lone Survivor,2013,7.5
The Outpost,2019,6.8
Tron,2010,6.8
12 Strong,2018,6.6
Pitch Black,2000,7.1
The Hunt for Red October,1990,7.6
Blade II,2002,6.7
Furious 6,2013,7.0
Natural Born Killers,1994,7.3
The Heat,2013,6.6
The Hunger Games: Mockingjay - Part 1,2014,6.6
John Carter,2012,6.6
Big Trouble in Little China,1986,7.3
Mission: Impossible III,2006,6.9
The Mask of Zorro,1998,6.8
War for the Planet of the Apes,2017,7.4
Bumblebee,2018,6.7
They Live,1988,7.3
Zombieland: Double Tap,2019,6.7
Face/Off,1997,7.2
Source Code,2011,7.5
Elysium,2013,6.6
Demolition Man,1993,6.7
Indiana Jones and the Last Crusade,1989,8.2
Ang-ma-reul bo-at-da,2010,7.8
Body of Lies,2008,7.1
X-Men: The Last Stand,2006,6.7
Spy,2015,7.0
U.S. Marshals,1998,6.6
End of Watch,2012,7.6
The Boondock Saints,1999,7.7
Lethal Weapon,1987,7.6
True Lies,1994,7.2
RED,2010,7.0
Dawn of the Planet of the Apes,2014,7.6
Commando,1985,6.7
The Fighter,2010,7.8
The Longest Day,1962,7.8
Dawn of the Dead,2004,7.3
X2,2003,7.4
Mad Max,1979,6.9
Atlantis: The Lost Empire,2001,6.9
Conan the Barbarian,1982,6.9
K.G.F: Chapter 1,2018,8.3
Falling Down,1993,7.6
The Chronicles of Riddick,2004,6.7
Smokey and the Bandit,1977,7.0
The French Connection,1971,7.7
Hunter Killer,2018,6.6
22 Jump Street,2014,7.0
The Crow,1994,7.6
Underworld,2003,7.0
10 Cloverfield Lane,2016,7.2
Hanna,2011,6.8
9,2009,7.1
The Informer,2019,6.6
Fast Five,2011,7.3
The Wolverine,2013,6.7
Prince of Persia: The Sands of Time,2010,6.6
Super 8,2011,7.0
The Expendables 2,2012,6.6
Enemy of the State,1998,7.3
The Fate of the Furious,2017,6.6
What Happened to Monday,2017,6.9
Crocodile Dundee,1986,6.6
The Bourne Legacy,2012,6.6
2 Guns,2013,6.7
Dragged Across Concrete,2018,6.9
Dredd,2012,7.1
Safe House,2012,6.7
The Lego Movie,2014,7.7
Chronicle,2012,7.0
Public Enemies,2009,7.0
Romancing the Stone,1984,6.9
Warcraft,2016,6.8
Austin Powers: The Spy Who Shagged Me,1999,6.6
Real Steel,2011,7.0
Planet Terror,2007,7.0
Le pacte des loups,2001,7.0
Die Hard 2,1990,7.1
Silver Streak,1976,6.9
Rise of the Planet of the Apes,2011,7.5
Brawl in Cell Block 99,2017,7.2
WarGames,1983,7.1
Khiladi,2022,7.8
Robin Hood: Prince of Thieves,1991,6.9
Serbuan maut,2011,7.6
Master and Commander: The Far Side of the World,2003,7.4
RocknRolla,2008,7.3
You Only Live Twice,1967,6.8
Enemy at the Gates,2001,7.6
Megamind,2010,7.3
Sherlock Holmes: A Game of Shadows,2011,7.5
Akira,1988,8.0
Wo hu cang long,2000,7.8
Escape Plan,2013,6.7
Dangal,2016,8.4
Pineapple Express,2008,6.9
American Made,2017,7.2
Southpaw,2015,7.4
No Escape,2015,6.8
The Witcher: Nightmare of the Wolf,2021,7.3
Allied,2016,7.1
Harriet,2019,6.7
Per un pugno di dollari,1964,8.0
Captain Phillips,2013,7.8
The Lego Batman Movie,2017,7.3
Veerame Vaagai Soodum,2022,7.9
Mad Max 2,1981,7.6
Three Kings,1999,7.1
Smokin' Aces,2006,6.7
Layer Cake,2004,7.3
RED 2,2013,6.6
Creed,2015,7.6
Robin Hood,2010,6.6
Open Range,2003,7.4
Live Free or Die Hard,2007,7.1
Gangster Squad,2013,6.7
Unknown,2011,6.8
Ender's Game,2013,6.6
Bronson,2008,7.1
Unstoppable,2010,6.8
Okja,2017,7.3
Adrift,2018,6.6
21 Bridges,2019,6.6
Pokémon: Detective Pikachu,2019,6.6
Alpha,2018,6.7
The Grey,2011,6.8
Ronin,1998,7.3
Bølgen,2015,6.7
Grindhouse,2007,7.5
Bloodsport,1988,6.8
The Guest,2014,6.7
The Next Three Days,2010,7.3
Batoru rowaiaru,2000,7.6
Die Hard: With a Vengeance,1995,7.6
The Running Man,1987,6.7
Super,2010,6.7
How to Train Your Dragon: The Hidden World,2019,7.5
Akinjeon,2019,7.0
Escape from New York,1981,7.2
Rise of the Guardians,2012,7.3
Dirty Harry,1971,7.7
Live and Let Die,1973,6.8
Rambo,2008,7.0
Out of the Furnace,2013,6.8
Angels & Demons,2009,6.7
The Poseidon Adventure,1972,7.1
Eagle Eye,2008,6.6
The Transporter,2002,6.8
Eye in the Sky,2015,7.3
On Her Majesty's Secret Service,1969,6.7
Maanaadu,2021,8.7
No Way Out,1987,7.1
A History of Violence,2005,7.4
Joy Ride,2001,6.6
Four Brothers,2005,6.8
Young Guns,1988,6.9
Bad Boys II,2003,6.6
The Adventures of Tintin,2011,7.3
Friday Night Lights,2004,7.2
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9
Maverick,1994,7.0
In the Line of Fire,1993,7.2
War Horse,2011,7.2
Jungle,2017,6.7
Chappie,2015,6.8
Overlord,2018,6.6
Only the Brave,2017,7.6
From Russia with Love,1963,7.4
Pandorum,2009,6.7
Outbreak,1995,6.6
Clear and Present Danger,1994,6.9
Machete,2010,6.6
Crank,2006,6.9
The Iron Giant,1999,8.0
Licence to Kill,1989,6.6
Where Eagles Dare,1968,7.6
The 13th Warrior,1999,6.6
Tears of the Sun,2003,6.6
Defiance,2008,7.2
Hardcore Henry,2015,6.7
Thunderball,1965,7.0
Hellboy II: The Golden Army,2008,7.0
How to Train Your Dragon 2,2014,7.8
Rush Hour 2,2001,6.6
48 Hrs.,1982,6.9
Ran,1985,8.2
TRON,1982,6.8
Bonnie and Clyde,1967,7.8
Absolute Power,1997,6.7
Ip Man,2008,8.0
The Last Boy Scout,1991,7.0
Man on a Ledge,2012,6.6
Kung fu,2004,7.8
Fallen,1998,7.0
30 Days of Night,2007,6.6
The Wild Bunch,1969,7.9
Enter the Dragon,1973,7.7
Gwoemul,2006,7.1
Kung Fu Panda 3,2016,7.1
Hotel Mumbai,2018,7.6
The Spy Who Loved Me,1977,7.1
The Guns of Navarone,1961,7.5
Kung Fu Panda 2,2011,7.2
Payback,1999,7.1
Star Trek II: The Wrath of Khan,1982,7.7
Ying xiong,2002,7.9
Traitor,2008,7.0
Patriots Day,2016,7.4
The Salvation,2014,6.7
Kôkaku Kidôtai,1995,8.0
Diamonds Are Forever,1971,6.6
A Most Violent Year,2014,7.0
Never Back Down,2008,6.6
The Rundown,2003,6.7
Bãhubali: The Beginning,2015,8.0
The Living Daylights,1987,6.7
The Dirty Dozen,1967,7.7
The Long Kiss Goodnight,1996,6.8
Akhanda,2021,7.2
Filth,2013,7.1
Hot Shots!,1991,6.8
The Towering Inferno,1974,7.0
Django,1966,7.2
"Batman: The Long Halloween, Part One",2021,7.3
Serbuan maut 2: Berandal,2014,8.0
Non-Stop,2014,6.9
The Last Starfighter,1984,6.8
FIR,2022,7.9
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1
The Finest Hours,2016,6.8
Antim: The Final Truth,2021,7.0
Juice,1992,7.1
Seungriho,2021,6.6
Kursk,2018,6.6
Anthropoid,2016,7.2
Enemy Mine,1985,6.9
Spies in Disguise,2019,6.8
Superman II,1980,6.8
Gangs of Wasseypur,2012,8.2
Lethal Weapon 2,1989,7.2
Team America: World Police,2004,7.2
Crimson Tide,1995,7.3
Streets of Fire,1984,6.7
United 93,2006,7.6
Backdraft,1991,6.7
Shoot 'Em Up,2007,6.6
Ransom,1996,6.7
Innerspace,1987,6.8
Mongol,2007,7.2
Yip Man 4,2019,7.0
Grosse Pointe Blank,1997,7.3
Ferry,2021,7.0
Letters from Iwo Jima,2006,7.9
Escape from Alcatraz,1979,7.6
Rocky Balboa,2006,7.1
Brick,2005,7.2
Run All Night,2015,6.6
U-571,2000,6.6
Tristan + Isolde,2006,6.8
The Italian Job,1969,7.3
Star Trek: First Contact,1996,7.6
Danger Close: The Battle of Long Tan,2019,6.8
The Man with the Golden Gun,1974,6.7
American Sicario,2021,6.7
The Girl with All the Gifts,2016,6.6
Battle of Britain,1969,7.0
Casualties of War,1989,7.1
Flickan som lekte med elden,2009,7.2
Jason and the Argonauts,1963,7.3
Kraftidioten,2014,7.2
Shershaah,2021,8.7
The Night Comes for Us,2018,7.0
Street Kings,2008,6.8
The Lady of Heaven,2021,8.3
The Edge,1997,7.0
Hot Shots! Part Deux,1993,6.6
El mariachi,1992,6.9
'71,2014,7.2
Death Wish,1974,7.0
The Mechanic,2011,6.6
The Score,2001,6.8
Flushed Away,2006,6.6
Spy Game,2001,7.1
The Aeronauts,2019,6.6
Ajeossi,2010,7.8
Ride,2018,7.2
Midnight Run,1988,7.5
Epic,2013,6.6
Courage Under Fire,1996,6.6
Edge of Darkness,2010,6.6
Rise of the Footsoldier,2007,6.8
Lethal Weapon 4,1998,6.6
Yôjinbô,1961,8.2
